n, m
9330, 36828
9350, 41324
9370, 42233
9390, 50786
9410, 40679
9430, 39781
9450, 37526
9470, 46425
9490, 50751
9510, 44892
9530, 38534
9550, 40706
9570, 48156
9590, 40739
9610, 42258
9630, 43765
9650, 40653
9670, 43444
9690, 46148
9710, 50745
9730, 43183
9750, 43951
9770, 48045
9790, 57041
9810, 42959
9830, 49028
9850, 41077
9870, 53584
9890, 50313
9910, 50380
9930, 49790
9950, 66028
9970, 42810
9990, 51368
10010, 41925
10030, 48229
10050, 59331
10070, 46656
10090, 57323
10110, 43979
10130, 49852
10150, 41691
10170, 49618
10190, 53467
10210, 49116
10230, 43571
10250, 47574
10270, 49438
10290, 63998
10310, 44979
10330, 46765
10350, 50994
10370, 58894
10390, 52936
10410, 53671
10430, 52070
10450, 43892
10470, 54592
10490, 48832
10510, 54662
10530, 49815
10550, 44873
10570, 49518
10590, 63824
10610, 43171
10630, 50666
10650, 53880
10670, 44715
10690, 48343
10710, 48415
10730, 47575
10750, 57559
10770, 50777
10790, 55825
10810, 49744
10830, 53299
10850, 51113
10870, 60380
10890, 56358
10910, 51564
10930, 67404
10950, 44778
10970, 48682
10990, 51454
11010, 48537
11030, 55946
11050, 56016
11070, 50669
11090, 54968
11110, 55992
11130, 43990
11150, 49799
11170, 64534
11190, 69541
11210, 57451
11230, 73319
11250, 47000
11270, 60310
11290, 58900
11310, 48723
11330, 57639
11350, 51820
11370, 67803
11390, 44965
11410, 51613
11430, 68792
11450, 51949
11470, 72800
11490, 53043
11510, 68837
11530, 60165
11550, 54297
11570, 66440
11590, 63270
11610, 48799
11630, 49942
11650, 66276
11670, 63760
11690, 64448
11710, 53355
11730, 59083
11750, 60079
11770, 56766
11790, 60800
11810, 90483
11830, 50933
11850, 53165
11870, 64747
11890, 50890
11910, 77432
11930, 54654
11950, 46172
11970, 59747
11990, 67339
12010, 59718
12030, 66332
12050, 53947
12070, 58804
12090, 55783
12110, 64917
12130, 56709
12150, 52383
12170, 79142
12190, 52514
12210, 57416
12230, 59388
12250, 50385
12270, 51524
12290, 51523
12310, 51970
12330, 48408
12350, 61317
12370, 69171
12390, 61292
12410, 66025
12430, 59472
12450, 97159
12470, 59162
12490, 65263
12510, 53892
12530, 66137
12550, 70831
12570, 55942
12590, 69498
12610, 54635
12630, 91740
12650, 67038
12670, 59358
12690, 58051
12710, 62686
12730, 67731
12750, 71794
12770, 52759
12790, 70725
12810, 65271
12830, 72546
12850, 63017
12870, 59953
12890, 52490
12910, 59512
12930, 52695
12950, 72647
12970, 65391
12990, 58886
13010, 65599
13030, 68397
13050, 57137
13070, 78650
13090, 71239
13110, 50280
13130, 61848
13150, 51277
13170, 69035
13190, 71431
